case_id,channel,seed,snr_db,trials,metric,value,reported_value,config,log
pdsch_coded_256qam,PDSCH,12345,25,200,ber,0,0.0000e+00,configs/pdsch_coded_256qam_seed12345.cfg,logs/pdsch_coded_256qam_seed12345.txt
pdsch_coded_256qam,PDSCH,12345,25,200,bler,0,0.0000,configs/pdsch_coded_256qam_seed12345.cfg,logs/pdsch_coded_256qam_seed12345.txt
pdsch_coded_256qam,PDSCH,12345,30,200,ber,0,0.0000e+00,configs/pdsch_coded_256qam_seed12345.cfg,logs/pdsch_coded_256qam_seed12345.txt
pdsch_coded_256qam,PDSCH,12345,30,200,bler,0,0.0000,configs/pdsch_coded_256qam_seed12345.cfg,logs/pdsch_coded_256qam_seed12345.txt
pdsch_coded_256qam,PDSCH,12345,35,200,ber,0,0.0000e+00,configs/pdsch_coded_256qam_seed12345.cfg,logs/pdsch_coded_256qam_seed12345.txt
pdsch_coded_256qam,PDSCH,12345,35,200,bler,0,0.0000,configs/pdsch_coded_256qam_seed12345.cfg,logs/pdsch_coded_256qam_seed12345.txt
pdsch_coded_256qam,PDSCH,67890,25,200,ber,0,0.0000e+00,configs/pdsch_coded_256qam_seed67890.cfg,logs/pdsch_coded_256qam_seed67890.txt
pdsch_coded_256qam,PDSCH,67890,25,200,bler,0,0.0000,configs/pdsch_coded_256qam_seed67890.cfg,logs/pdsch_coded_256qam_seed67890.txt
pdsch_coded_256qam,PDSCH,67890,30,200,ber,0,0.0000e+00,configs/pdsch_coded_256qam_seed67890.cfg,logs/pdsch_coded_256qam_seed67890.txt
pdsch_coded_256qam,PDSCH,67890,30,200,bler,0,0.0000,configs/pdsch_coded_256qam_seed67890.cfg,logs/pdsch_coded_256qam_seed67890.txt
pdsch_coded_256qam,PDSCH,67890,35,200,ber,0,0.0000e+00,configs/pdsch_coded_256qam_seed67890.cfg,logs/pdsch_coded_256qam_seed67890.txt
pdsch_coded_256qam,PDSCH,67890,35,200,bler,0,0.0000,configs/pdsch_coded_256qam_seed67890.cfg,logs/pdsch_coded_256qam_seed67890.txt
pdsch_dmrs_256qam_zf,PDSCH,12345,25,200,ber,0.00015625,1.5625e-04,configs/pdsch_dmrs_256qam_zf_seed12345.cfg,logs/pdsch_dmrs_256qam_zf_seed12345.txt
pdsch_dmrs_256qam_zf,PDSCH,12345,25,200,bler,0.08,0.0800,configs/pdsch_dmrs_256qam_zf_seed12345.cfg,logs/pdsch_dmrs_256qam_zf_seed12345.txt
pdsch_dmrs_256qam_zf,PDSCH,12345,30,200,ber,0.0000065104,6.5104e-06,configs/pdsch_dmrs_256qam_zf_seed12345.cfg,logs/pdsch_dmrs_256qam_zf_seed12345.txt
pdsch_dmrs_256qam_zf,PDSCH,12345,30,200,bler,0.005,0.0050,configs/pdsch_dmrs_256qam_zf_seed12345.cfg,logs/pdsch_dmrs_256qam_zf_seed12345.txt
pdsch_dmrs_256qam_zf,PDSCH,12345,35,200,ber,0,0.0000e+00,configs/pdsch_dmrs_256qam_zf_seed12345.cfg,logs/pdsch_dmrs_256qam_zf_seed12345.txt
pdsch_dmrs_256qam_zf,PDSCH,12345,35,200,bler,0,0.0000,configs/pdsch_dmrs_256qam_zf_seed12345.cfg,logs/pdsch_dmrs_256qam_zf_seed12345.txt
pdsch_dmrs_256qam_zf,PDSCH,67890,25,200,ber,0.00028646,2.8646e-04,configs/pdsch_dmrs_256qam_zf_seed67890.cfg,logs/pdsch_dmrs_256qam_zf_seed67890.txt
pdsch_dmrs_256qam_zf,PDSCH,67890,25,200,bler,0.095,0.0950,configs/pdsch_dmrs_256qam_zf_seed67890.cfg,logs/pdsch_dmrs_256qam_zf_seed67890.txt
