case_id,channel,seed,snr_db,trials,metric,value,reported_value,config,log
pbch,PBCH,12345,-10,200,bler,0.64,6.4000e-01,configs/pbch_seed12345.cfg,logs/pbch_seed12345.txt
pbch,PBCH,12345,-5,200,bler,0,0.0000e+00,configs/pbch_seed12345.cfg,logs/pbch_seed12345.txt
pbch,PBCH,12345,0,200,bler,0,0.0000e+00,configs/pbch_seed12345.cfg,logs/pbch_seed12345.txt
pbch,PBCH,12345,5,200,bler,0,0.0000e+00,configs/pbch_seed12345.cfg,logs/pbch_seed12345.txt
pbch,PBCH,12345,10,200,bler,0,0.0000e+00,configs/pbch_seed12345.cfg,logs/pbch_seed12345.txt
pbch,PBCH,12345,15,200,bler,0,0.0000e+00,configs/pbch_seed12345.cfg,logs/pbch_seed12345.txt
pbch,PBCH,12345,20,200,bler,0,0.0000e+00,configs/pbch_seed12345.cfg,logs/pbch_seed12345.txt
pbch,PBCH,67890,-10,200,bler,0.68,6.8000e-01,configs/pbch_seed67890.cfg,logs/pbch_seed67890.txt
pbch,PBCH,67890,-5,200,bler,0,0.0000e+00,configs/pbch_seed67890.cfg,logs/pbch_seed67890.txt
pbch,PBCH,67890,0,200,bler,0,0.0000e+00,configs/pbch_seed67890.cfg,logs/pbch_seed67890.txt
pbch,PBCH,67890,5,200,bler,0,0.0000e+00,configs/pbch_seed67890.cfg,logs/pbch_seed67890.txt
pbch,PBCH,67890,10,200,bler,0,0.0000e+00,configs/pbch_seed67890.cfg,logs/pbch_seed67890.txt
pbch,PBCH,67890,15,200,bler,0,0.0000e+00,configs/pbch_seed67890.cfg,logs/pbch_seed67890.txt
pbch,PBCH,67890,20,200,bler,0,0.0000e+00,configs/pbch_seed67890.cfg,logs/pbch_seed67890.txt
pdcch_css_al4,PDCCH,12345,-10,200,p_detect,0,0.0000,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,-10,200,p_miss,1,1.0000,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,-10,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,-10,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,-5,200,p_detect,0.8,0.8000,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,-5,200,p_miss,0.2,0.2000,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,-5,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,-5,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,0,200,p_detect,1,1.0000,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,0,200,p_miss,0,0.0000,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,0,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,0,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,5,200,p_detect,1,1.0000,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,5,200,p_miss,0,0.0000,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,5,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,5,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,10,200,p_detect,1,1.0000,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,10,200,p_miss,0,0.0000,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,10,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,10,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,15,200,p_detect,1,1.0000,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,15,200,p_miss,0,0.0000,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,15,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,15,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,20,200,p_detect,1,1.0000,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,20,200,p_miss,0,0.0000,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,20,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,12345,20,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed12345.cfg,logs/pdcch_css_al4_seed12345.txt
pdcch_css_al4,PDCCH,67890,-10,200,p_detect,0,0.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,-10,200,p_miss,1,1.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,-10,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,-10,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,-5,200,p_detect,0.78,0.7800,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,-5,200,p_miss,0.22,0.2200,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,-5,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,-5,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,0,200,p_detect,1,1.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,0,200,p_miss,0,0.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,0,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,0,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,5,200,p_detect,1,1.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,5,200,p_miss,0,0.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,5,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,5,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,10,200,p_detect,1,1.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,10,200,p_miss,0,0.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,10,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,10,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,15,200,p_detect,1,1.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,15,200,p_miss,0,0.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,15,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,15,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,20,200,p_detect,1,1.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,20,200,p_miss,0,0.0000,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,20,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al4,PDCCH,67890,20,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al4_seed67890.cfg,logs/pdcch_css_al4_seed67890.txt
pdcch_css_al8,PDCCH,12345,-10,200,p_detect,0.14,0.1400,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,-10,200,p_miss,0.86,0.8600,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,-10,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,-10,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,-5,200,p_detect,1,1.0000,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,-5,200,p_miss,0,0.0000,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,-5,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,-5,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,0,200,p_detect,1,1.0000,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,0,200,p_miss,0,0.0000,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,0,200,p_false_alarm,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,0,200,ber_detected,0,0.0000e+00,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
pdcch_css_al8,PDCCH,12345,5,200,p_detect,1,1.0000,configs/pdcch_css_al8_seed12345.cfg,logs/pdcch_css_al8_seed12345.txt
